time,T1,T2,T3,T4,thermo1,thermo2,thermo3
29600.0,20.388788,23.67131,25.643614,28.015837,24.854807,30.772034,28.292723
29700.0,20.376919,23.69278,25.672007,28.04007,24.851294,30.775057,28.309324
29800.0,20.365076,23.714075,25.70027,28.064156,24.847761,30.778101,28.325844
29900.0,20.353235,23.735222,25.728409,28.088076,24.844213,30.781181,28.342306
30000.0,20.34139,23.756205,25.756403,28.111841,24.840654,30.784286,28.358686
30100.0,20.329548,23.777008,25.784248,28.135454,24.837067,30.787416,28.374994
30200.0,20.317713,23.79764,25.81195,28.158943,24.833464,30.790567,28.391228
30300.0,20.305902,23.818085,25.839516,28.18228,24.82984,30.793747,28.407396
30400.0,20.294086,23.838387,25.866974,28.20547,24.826197,30.796953,28.423494
30500.0,20.282307,23.858522,25.894302,28.228518,24.822535,30.800186,28.43953
30600.0,20.270525,23.878496,25.921516,28.251457,24.818869,30.803442,28.455498
30700.0,20.258768,23.89831,25.948584,28.27426,24.815186,30.806734,28.471397
30800.0,20.247011,23.917961,25.975534,28.296936,24.811485,30.810045,28.487226
30900.0,20.23528,23.93746,26.002352,28.319466,24.807775,30.813375,28.502974
31000.0,20.223564,23.956797,26.029043,28.341848,24.804049,30.816732,28.518654
31100.0,20.211859,23.97599,26.055624,28.364077,24.800303,30.820116,28.534258
31200.0,20.200167,23.99502,26.082062,28.386164,24.796547,30.823526,28.54978
31300.0,20.188498,24.013926,26.108393,28.408104,24.79278,30.826963,28.565247
31400.0,20.176851,24.032785,26.134665,28.429916,24.789001,30.830421,28.580637
31500.0,20.165203,24.051514,26.16083,28.451622,24.785227,30.8339,28.595968
31600.0,20.15359,24.070105,26.186874,28.473196,24.781435,30.83741,28.611242
31700.0,20.141973,24.088549,26.212812,28.49463,24.777632,30.840948,28.62645
31800.0,20.130383,24.106855,26.238625,28.515923,24.773819,30.844496,28.641579
31900.0,20.118797,24.124987,26.264305,28.537073,24.769981,30.84807,28.656641
32000.0,20.107239,24.142975,26.289854,28.558104,24.766142,30.851667,28.671637
32100.0,20.095701,24.160812,26.315279,28.579,24.762283,30.855286,28.686577
32200.0,20.08417,24.178497,26.340593,28.59979,24.758408,30.858925,28.701448
32300.0,20.072659,24.196045,26.365791,28.620445,24.754524,30.862587,28.71626
32400.0,20.061161,24.213446,26.390892,28.640966,24.75062,30.866274,28.731005
32500.0,20.049677,24.230707,26.415888,28.66137,24.746706,30.869982,28.74569
32600.0,20.038195,24.247828,26.440752,28.681631,24.742775,30.873709,28.7603
32700.0,20.026735,24.264793,26.46551,28.701784,24.738821,30.877459,28.774847
32800.0,20.01529,24.281609,26.49014,28.721811,24.734848,30.881218,28.789324
32900.0,20.003859,24.298288,26.514679,28.741714,24.730858,30.885012,28.803728
33000.0,19.992443,24.314825,26.539108,28.761496,24.726858,30.888819,28.818071
33100.0,19.98106,24.331213,26.563416,28.781174,24.72284,30.892649,28.832354
33200.0,19.969683,24.347473,26.587603,28.80073,24.718805,30.896494,28.846582
33300.0,19.95832,24.363586,26.611671,28.820177,24.71476,30.900368,28.86075
33400.0,19.946983,24.37956,26.63565,28.839525,24.710688,30.90426,28.874857
33500.0,19.935663,24.395426,26.659525,28.858763,24.70662,30.908167,28.888903
33600.0,19.92436,24.411154,26.683289,28.877876,24.702532,30.912092,28.902893
33700.0,19.913067,24.426767,26.706968,28.896872,24.698435,30.916018,28.916817
33800.0,19.9018,24.442307,26.730568,28.915741,24.694328,30.919981,28.93068
33900.0,19.890547,24.457773,26.754095,28.934486,24.690207,30.92396,28.944479
34000.0,19.879309,24.473122,26.777517,28.953112,24.68608,30.927963,28.9582
